Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7917157,0.00019999995,0.6768847,2.182470296820005,2.1824701577849432,146.16666666666666
2000,1.7917259,0.00019999995,0.62116766,1.587016735225916,1.587016660550944,127.125
3000,1.7917229,0.00019999995,0.61408156,2.2822001377741494,2.28220019834445,165.33333333333334
4000,1.7917296,0.00019999995,0.5465248,1.2427224963903427,1.2427225040347214,152.0
5000,1.7917165,0.00019999995,0.7281704,5.430643290281296,5.430643303730903,186.0
6000,1.7917327,0.00019999995,0.6121509,6.596100635826588,6.596100511026236,296.25
7000,1.7917203,0.00019999995,0.78463775,2.4783288426697254,2.4783288769637863,141.125
8000,1.7917215,0.00019999995,0.6732905,8.765740106503168,8.765740104090582,314.0
9000,1.7917207,0.00019999995,0.69778526,5.394706137478352,5.394706162857256,204.2
10000,1.7917286,0.00019999995,0.6558617,4.838304883241653,4.838304809564943,185.2
11000,1.7910247,0.00019999992,0.8488555,3.5031798481941223,3.503179946086751,162.83333333333334
12000,1.7908257,0.0001999999,0.77364475,3.7744529128074644,3.7744528160367734,183.4
13000,1.79086,0.0001999999,0.65896344,2.9258410573005675,2.925840957296714,128.4
14000,1.7909844,0.0001999999,0.52358484,4.179047178477049,4.17904718711188,347.75
15000,1.7909437,0.0001999999,0.69737965,3.862319193780422,3.8623191890069393,236.75
16000,1.7908117,0.0001999999,0.7778134,3.074918876091639,3.0749188846201227,155.0
17000,1.7907835,0.0001999999,0.69713426,2.3438745935757956,2.3438746988163075,139.0
18000,1.7907218,0.0001999999,0.8376156,2.1942865451176963,2.1942865030065253,124.66666666666667
19000,1.7908223,0.0001999999,0.74948967,7.002055684725444,7.002055580781719,199.0
20000,1.7909341,0.0001999999,0.60365117,6.8307124599814415,6.830712324890858,469.3333333333333
21000,1.7896965,0.0001999999,0.86250347,3.104736606280009,3.104736596848246,146.33333333333334
22000,1.7836192,0.0001999999,0.84115535,4.09519082903862,4.095190800310775,216.2
23000,1.785803,0.0001999999,0.7907412,4.503650987148285,4.5036509419423965,194.0
24000,1.7829899,0.0001999999,0.97872055,3.109487920999527,3.109487863621723,129.625
25000,1.7855171,0.0001999999,0.5047929,1.3243876014436995,1.324387602816127,150.57142857142858
26000,1.7836969,0.0001999999,0.8729372,3.2175324112176895,3.2175325044245255,155.83333333333334
27000,1.7859578,0.0001999999,0.81382644,3.212760090827942,3.2127600249746138,178.6
28000,1.7839314,0.0001999999,0.9118155,3.93698584040006,3.936985744525373,167.5
29000,1.7858789,0.00019999988,0.67311627,3.3192232608795167,3.3192232384782985,212.4
30000,1.7871445,0.00019999986,0.6859021,6.132018635670344,6.132018722952125,328.3333333333333
31000,1.7865806,0.00019999986,0.5261607,0.8564108184405735,0.8564108287501507,141.14285714285714
32000,1.7897024,0.00019999986,1.0556092,2.935665028435843,2.9356649339347314,128.14285714285714
33000,1.7900617,0.00019999986,1.1200796,3.894921204873494,3.8949213119578547,146.14285714285714
34000,1.7905576,0.00019999986,0.76329327,1.4548241396745045,1.4548241143473508,121.0
